type,nameOrig,nameDest,amount,oldbalanceOrg,newbalanceOrg,oldbalanceDest,newbalanceDest,isFraud,creditCard,timestamp
PAYMENT,Alice,Eve,4553.23,41023.71,36470.479999999996,49597.92,54151.149999999994,0,1234-5678-9012-0795,2024-12-25 10:38:58.622340
CASH_OUT,David,Jane,9235.97,12630.03,3394.0600000000013,10321.56,19557.53,1,1234-5678-9012-0046,2024-05-29 10:38:58.622375
DEBIT,Bob,Eve,8470.15,27345.44,18875.29,3731.62,12201.77,0,1234-5678-9012-0195,2024-06-30 10:38:58.622389
CASH_OUT,Eve,Alice,2712.62,2669.84,-42.779999999999745,44465.28,47177.9,0,1234-5678-9012-0403,2024-06-24 10:38:58.622402
PAYMENT,Jane,Charlie,9901.16,30406.04,20504.88,36400.2,46301.36,1,1234-5678-9012-0146,2025-01-14 10:38:58.622415
CASH_IN,Eve,David,6910.38,45371.02,38460.64,25811.61,32721.99,0,1234-5678-9012-0451,2024-05-13 10:38:58.622428
CASH_OUT,Bob,Eve,3204.8,39777.37,36572.57,10958.42,14163.220000000001,0,1234-5678-9012-0066,2024-06-22 10:38:58.622442
DEBIT,Bob,John,640.25,42872.77,42232.52,26508.47,27148.72,0,1234-5678-9012-0079,2025-04-08 10:38:58.622457
TRANSFER,Charlie,Jane,985.31,37564.85,36579.54,27747.39,28732.7,0,1234-5678-9012-0850,2024-05-29 10:38:58.622476
CASH_OUT,Bob,Charlie,2694.67,47333.86,44639.19,31832.49,34527.16,0,1234-5678-9012-0999,2024-09-05 10:38:58.622490
DEBIT,Charlie,Bob,4642.61,28058.92,23416.309999999998,5554.52,10197.130000000001,0,1234-5678-9012-0004,2024-08-05 10:38:58.622504
CASH_IN,Alice,David,9719.26,21221.07,11501.81,34884.02,44603.28,1,1234-5678-9012-0386,2025-03-21 10:38:58.622524
CASH_OUT,Alice,Jane,2995.17,15409.94,12414.77,7053.48,10048.65,0,1234-5678-9012-0168,2025-02-16 10:38:58.622539
DEBIT,David,Charlie,2178.39,29118.46,26940.07,48891.43,51069.82,0,1234-5678-9012-0500,2025-03-26 10:38:58.622553
PAYMENT,John,Bob,6668.14,3565.96,-3102.1800000000003,28270.63,34938.770000000004,0,1234-5678-9012-0812,2024-08-20 10:38:58.622566
DEBIT,John,Charlie,1342.22,33127.47,31785.25,35898.34,37240.56,0,1234-5678-9012-0265,2025-04-07 10:38:58.622588
CASH_IN,Alice,Jane,2310.23,32153.04,29842.81,2772.11,5082.34,0,1234-5678-9012-0620,2024-08-22 10:38:58.622603
CASH_OUT,John,Jane,7632.67,42132.22,34499.55,47188.71,54821.38,0,1234-5678-9012-0136,2024-06-08 10:38:58.622618
CASH_IN,David,Charlie,7930.04,7852.99,-77.05000000000018,27937.77,35867.81,0,1234-5678-9012-0421,2025-03-23 10:38:58.622632
CASH_OUT,David,Bob,4733.81,32483.77,27749.96,43965.92,48699.729999999996,0,1234-5678-9012-0080,2025-01-28 10:38:58.622662
TRANSFER,Bob,Alice,6438.07,10693.41,4255.34,30080.45,36518.520000000004,1,1234-5678-9012-0947,2025-04-16 10:38:58.622677
TRANSFER,Jane,Charlie,8265.35,29875.59,21610.239999999998,26768.84,35034.19,1,1234-5678-9012-0556,2024-06-02 10:38:58.622691
TRANSFER,John,Charlie,8415.2,43657.01,35241.81,9266.22,17681.42,1,1234-5678-9012-0462,2025-03-02 10:38:58.622706
CASH_IN,Charlie,Jane,7257.97,960.84,-6297.13,44581.06,51839.03,0,1234-5678-9012-0927,2024-12-05 10:38:58.622719
DEBIT,Eve,Alice,778.03,6329.81,5551.780000000001,19559.53,20337.559999999998,0,1234-5678-9012-0367,2024-11-29 10:38:58.622732
CASH_IN,Jane,Charlie,9191.99,39378.56,30186.57,20481.62,29673.61,1,1234-5678-9012-0343,2024-10-04 10:38:58.622744
DEBIT,Charlie,Eve,9484.82,36766.87,27282.050000000003,20265.42,29750.239999999998,1,1234-5678-9012-0834,2024-07-27 10:38:58.622756
DEBIT,David,Bob,4282.91,18768.34,14485.43,14825.92,19108.83,0,1234-5678-9012-0748,2024-10-20 10:38:58.622768
DEBIT,John,Bob,759.87,29345.9,28586.030000000002,43745.71,44505.58,0,1234-5678-9012-0306,2025-01-17 10:38:58.622783
TRANSFER,Charlie,Alice,4526.93,38936.13,34409.2,40409.53,44936.46,0,1234-5678-9012-0333,2024-07-24 10:38:58.622796
DEBIT,Charlie,Jane,3569.82,37203.14,33633.32,2845.58,6415.4,0,1234-5678-9012-0597,2025-01-02 10:38:58.622809
DEBIT,Alice,John,7854.17,39774.5,31920.33,27190.9,35045.07,0,1234-5678-9012-0376,2024-09-27 10:38:58.622822
CASH_IN,Bob,John,6392.94,28548.93,22155.99,10071.53,16464.47,0,1234-5678-9012-0487,2024-12-06 10:38:58.622834
PAYMENT,Charlie,Jane,107.7,43861.41,43753.71000000001,45456.74,45564.439999999995,0,1234-5678-9012-0871,2024-06-15 10:38:58.622845
CASH_IN,Eve,David,2024.26,34031.19,32006.930000000004,19561.46,21585.719999999998,0,1234-5678-9012-0061,2024-10-30 10:38:58.622858
PAYMENT,John,Eve,1187.86,48590.84,47402.979999999996,42152.49,43340.35,0,1234-5678-9012-0536,2025-02-25 10:38:58.622876
CASH_OUT,Jane,Charlie,3477.48,3315.52,-161.96000000000004,44363.64,47841.12,0,1234-5678-9012-0211,2025-02-02 10:38:58.622889
CASH_OUT,Charlie,David,6151.92,14259.04,8107.120000000001,45928.46,52080.38,0,1234-5678-9012-0688,2024-10-10 10:38:58.622904
CASH_IN,John,David,9500.23,49322.77,39822.53999999999,15579.78,25080.010000000002,1,1234-5678-9012-0068,2024-10-09 10:38:58.622916
CASH_OUT,Alice,David,2450.16,36140.96,33690.8,38092.78,40542.94,0,1234-5678-9012-0127,2024-09-04 10:38:58.622928
CASH_OUT,Alice,John,3096.11,27378.95,24282.84,42760.55,45856.66,0,1234-5678-9012-0534,2024-09-20 10:38:58.622940
TRANSFER,John,Alice,2957.37,13610.88,10653.509999999998,17151.87,20109.239999999998,0,1234-5678-9012-0088,2025-01-30 10:38:58.622954
TRANSFER,Jane,David,1394.94,24142.3,22747.36,47936.04,49330.98,0,1234-5678-9012-0922,2025-02-04 10:38:58.622965
DEBIT,Jane,Eve,1443.36,42985.07,41541.71,28128.77,29572.13,0,1234-5678-9012-0302,2024-10-03 10:38:58.622977
TRANSFER,David,Eve,7820.57,15378.98,7558.41,18107.72,25928.29,1,1234-5678-9012-0989,2024-09-07 10:38:58.622988
CASH_OUT,Jane,Bob,3267.79,33943.41,30675.620000000003,43058.63,46326.42,0,1234-5678-9012-0178,2025-04-09 10:38:58.623000
DEBIT,John,Eve,8450.81,28494.2,20043.39,29186.74,37637.55,0,1234-5678-9012-0416,2025-03-30 10:38:58.623011
CASH_IN,Alice,Bob,5799.73,37986.19,32186.460000000003,40664.06,46463.78999999999,0,1234-5678-9012-0742,2025-01-06 10:38:58.623024
CASH_IN,Jane,Eve,2560.07,24723.26,22163.19,38454.11,41014.18,0,1234-5678-9012-0515,2024-06-16 10:38:58.623037
CASH_IN,Bob,Charlie,4823.87,4357.99,-465.8800000000001,1291.15,6115.02,0,1234-5678-9012-0038,2025-03-29 10:38:58.623049
CASH_IN,Bob,Jane,7026.68,9163.89,2137.209999999999,23410.31,30436.99,0,1234-5678-9012-0658,2024-08-04 10:38:58.623062
CASH_IN,Bob,Eve,795.57,48725.07,47929.5,37709.64,38505.21,0,1234-5678-9012-0792,2024-12-20 10:38:58.623073
CASH_IN,Eve,Charlie,6114.0,926.85,-5187.15,38741.38,44855.38,0,1234-5678-9012-0145,2024-06-13 10:38:58.623085
TRANSFER,Charlie,John,1117.61,2623.35,1505.74,37306.6,38424.21,0,1234-5678-9012-0358,2024-11-22 10:38:58.623097
TRANSFER,David,Charlie,5243.68,23337.69,18094.01,6942.09,12185.77,1,1234-5678-9012-0279,2025-03-24 10:38:58.623112
CASH_OUT,David,Charlie,9495.28,39271.44,29776.160000000003,46835.33,56330.61,1,1234-5678-9012-0467,2024-07-16 10:38:58.623126
TRANSFER,John,Alice,7150.67,18502.42,11351.749999999998,31253.69,38404.36,1,1234-5678-9012-0550,2024-05-09 10:38:58.623140
DEBIT,Charlie,Alice,591.23,49162.58,48571.35,36531.59,37122.82,0,1234-5678-9012-0836,2024-05-07 10:38:58.623153
TRANSFER,Alice,David,5683.0,35467.37,29784.370000000003,12908.69,18591.690000000002,1,1234-5678-9012-0859,2024-07-27 10:38:58.623168
DEBIT,Jane,Eve,4703.75,34383.0,29679.25,33267.82,37971.57,0,1234-5678-9012-0160,2025-02-14 10:38:58.623181
PAYMENT,John,Alice,4131.06,41703.35,37572.29,16149.33,20280.39,0,1234-5678-9012-0796,2024-08-18 10:38:58.623196
CASH_OUT,Eve,Jane,5818.48,18662.52,12844.04,10465.53,16284.01,0,1234-5678-9012-0533,2024-10-15 10:38:58.623211
DEBIT,Eve,David,3144.52,2396.4,-748.1199999999999,42407.53,45552.049999999996,0,1234-5678-9012-0652,2025-02-12 10:38:58.623230
PAYMENT,David,Bob,6001.94,12597.52,6595.580000000001,38818.29,44820.23,0,1234-5678-9012-0275,2025-01-27 10:38:58.623242
DEBIT,Jane,Bob,6431.71,28997.59,22565.88,7804.45,14236.16,0,1234-5678-9012-0644,2024-08-29 10:38:58.623254
CASH_IN,John,Jane,2994.03,27299.21,24305.18,26608.53,29602.559999999998,0,1234-5678-9012-0452,2024-08-15 10:38:58.623267
CASH_OUT,Eve,Jane,7220.4,32734.54,25514.14,49400.07,56620.47,0,1234-5678-9012-0799,2024-07-28 10:38:58.623281
DEBIT,John,Charlie,864.66,10735.39,9870.73,19628.18,20492.84,0,1234-5678-9012-0516,2024-12-26 10:38:58.623294
PAYMENT,Bob,Alice,7221.86,15850.12,8628.260000000002,41113.16,48335.020000000004,0,1234-5678-9012-0507,2024-06-27 10:38:58.623307
CASH_IN,Alice,David,8539.95,49994.12,41454.17,36879.1,45419.05,0,1234-5678-9012-0065,2024-11-17 10:38:58.623318
CASH_IN,Jane,John,8063.46,26195.83,18132.370000000003,22163.06,30226.52,0,1234-5678-9012-0854,2025-02-09 10:38:58.623329
DEBIT,John,Jane,564.56,14021.33,13456.77,16441.21,17005.77,1,1234-5678-9012-0160,2025-04-16 10:38:58.623341
DEBIT,David,Bob,4648.25,14635.57,9987.32,3006.71,7654.96,0,1234-5678-9012-0361,2024-07-03 10:38:58.623382
DEBIT,Bob,Eve,804.7,29719.62,28914.92,14537.45,15342.150000000001,0,1234-5678-9012-0819,2025-02-16 10:38:58.623396
CASH_IN,David,John,2891.09,11824.05,8932.96,4158.65,7049.74,0,1234-5678-9012-0943,2024-09-15 10:38:58.623409
CASH_IN,David,John,7160.96,18057.38,10896.420000000002,38697.77,45858.729999999996,0,1234-5678-9012-0474,2024-08-12 10:38:58.623420
TRANSFER,Bob,Alice,7077.49,15318.39,8240.9,35861.52,42939.009999999995,1,1234-5678-9012-0769,2024-08-09 10:38:58.623433
DEBIT,John,Bob,7170.68,43333.47,36162.79,20505.14,27675.82,0,1234-5678-9012-0327,2025-02-02 10:38:58.623445
TRANSFER,Alice,David,2799.96,29128.26,26328.3,19662.5,22462.46,0,1234-5678-9012-0435,2025-05-05 10:38:58.623463
PAYMENT,Alice,Jane,3443.66,20573.11,17129.45,41371.27,44814.92999999999,0,1234-5678-9012-0433,2024-08-24 10:38:58.623475
DEBIT,Eve,John,5461.74,15227.64,9765.9,38766.5,44228.24,0,1234-5678-9012-0583,2024-11-08 10:38:58.623487
DEBIT,Eve,Bob,8883.66,44862.56,35978.899999999994,28914.51,37798.17,0,1234-5678-9012-0668,2025-05-01 10:38:58.623498
DEBIT,Eve,Jane,4428.82,16058.58,11629.76,29947.44,34376.259999999995,0,1234-5678-9012-0756,2024-08-17 10:38:58.623509
TRANSFER,Bob,Jane,66.33,22290.59,22224.26,38118.97,38185.3,0,1234-5678-9012-0242,2024-12-25 10:38:58.623520
TRANSFER,Bob,Charlie,9014.34,33660.55,24646.210000000003,39783.93,48798.270000000004,1,1234-5678-9012-0333,2024-10-14 10:38:58.623532
DEBIT,John,Eve,7939.98,45071.82,37131.84,48066.13,56006.11,0,1234-5678-9012-0233,2024-12-19 10:38:58.623547
DEBIT,Charlie,David,6034.16,16077.22,10043.06,1844.89,7879.05,0,1234-5678-9012-0149,2025-04-28 10:38:58.623559
TRANSFER,Jane,Alice,2365.75,13637.98,11272.23,12443.73,14809.48,1,1234-5678-9012-0556,2024-08-20 10:38:58.623570
CASH_IN,David,John,1121.28,39541.02,38419.74,22995.04,24116.32,1,1234-5678-9012-0515,2024-09-08 10:38:58.623589
TRANSFER,Charlie,Alice,2136.99,36927.48,34790.490000000005,6098.18,8235.17,1,1234-5678-9012-0500,2024-05-06 10:38:58.623602
CASH_IN,David,Bob,8604.29,34782.47,26178.18,15960.48,24564.77,0,1234-5678-9012-0706,2024-07-11 10:38:58.623615
PAYMENT,David,Jane,1929.98,1842.2,-87.77999999999997,6900.1,8830.08,0,1234-5678-9012-0237,2024-09-26 10:38:58.623630
CASH_OUT,Eve,Charlie,6212.73,43831.09,37618.36,41747.31,47960.03999999999,0,1234-5678-9012-0475,2025-03-19 10:38:58.623642
CASH_IN,Eve,Jane,7497.5,49895.6,42398.1,37743.88,45241.38,0,1234-5678-9012-0405,2024-12-06 10:38:58.623654
CASH_IN,Alice,John,1813.34,21036.9,19223.56,40008.99,41822.329999999994,0,1234-5678-9012-0973,2024-09-14 10:38:58.623666
DEBIT,Eve,Jane,1898.49,26878.31,24979.82,35813.88,37712.369999999995,0,1234-5678-9012-0861,2024-08-22 10:38:58.623679
PAYMENT,Jane,David,5827.58,4836.38,-991.1999999999998,34715.88,40543.46,0,1234-5678-9012-0651,2025-04-24 10:38:58.623691
CASH_OUT,Charlie,Jane,6309.84,23162.15,16852.31,19240.62,25550.46,0,1234-5678-9012-0368,2024-06-05 10:38:58.623704
TRANSFER,Bob,Alice,3449.5,6280.29,2830.79,6341.51,9791.01,0,1234-5678-9012-0504,2024-10-01 10:38:58.623718
CASH_IN,Eve,Alice,1867.6,11605.19,9737.59,34317.22,36184.82,0,1234-5678-9012-0643,2025-03-09 10:38:58.623731
CASH_IN,Bob,Eve,5360.64,20602.19,15241.55,32371.02,37731.66,0,1234-5678-9012-0223,2024-10-12 10:38:58.623744
PAYMENT,Bob,Eve,466.35,25527.28,25060.93,33791.51,34257.86,0,1234-5678-9012-0182,2024-12-03 10:38:58.623757
DEBIT,Jane,John,9311.92,42973.36,33661.44,32168.69,41480.61,1,1234-5678-9012-0835,2024-09-05 10:38:58.623770
DEBIT,David,Alice,8910.05,1073.69,-7836.359999999999,13007.58,21917.629999999997,1,1234-5678-9012-0088,2025-03-05 10:38:58.623783
DEBIT,David,Alice,2395.5,12564.1,10168.6,46087.54,48483.04,0,1234-5678-9012-0873,2024-10-30 10:38:58.623798
PAYMENT,Charlie,Bob,4821.44,24026.14,19204.7,38266.27,43087.71,0,1234-5678-9012-0459,2025-02-20 10:38:58.623812
CASH_IN,Eve,Charlie,7232.61,14965.18,7732.570000000001,5144.11,12376.72,1,1234-5678-9012-0415,2024-07-12 10:38:58.623824
CASH_OUT,Alice,Charlie,4852.12,16569.44,11717.32,21119.91,25972.03,0,1234-5678-9012-0054,2024-12-15 10:38:58.623837
TRANSFER,Charlie,David,6130.63,26102.21,19971.579999999998,45555.55,51686.18,1,1234-5678-9012-0707,2024-08-11 10:38:58.623850
PAYMENT,Eve,Jane,8018.09,10299.35,2281.26,38834.7,46852.78999999999,0,1234-5678-9012-0154,2024-09-13 10:38:58.623862
PAYMENT,David,Jane,3045.89,16695.27,13649.380000000001,17105.7,20151.59,0,1234-5678-9012-0670,2024-10-05 10:38:58.623876
PAYMENT,Alice,Bob,8718.86,16803.14,8084.279999999999,36712.99,45431.85,0,1234-5678-9012-0562,2024-09-03 10:38:58.623890
PAYMENT,Charlie,Bob,3462.25,13648.18,10185.93,25001.74,28463.99,0,1234-5678-9012-0725,2024-08-02 10:38:58.623903
CASH_IN,David,Bob,6811.95,13732.03,6920.080000000001,45911.57,52723.52,0,1234-5678-9012-0313,2024-09-19 10:38:58.623921
TRANSFER,David,Alice,6748.77,34453.31,27704.539999999997,47731.03,54479.8,1,1234-5678-9012-0277,2024-07-17 10:38:58.623934
CASH_IN,Bob,Alice,5717.69,29833.62,24115.93,29185.41,34903.1,0,1234-5678-9012-0592,2024-10-16 10:38:58.623946
PAYMENT,David,Charlie,8380.66,29362.51,20981.85,42112.86,50493.520000000004,1,1234-5678-9012-0643,2024-05-31 10:38:58.623960
CASH_IN,David,Bob,8459.83,9602.69,1142.8600000000006,6561.15,15020.98,0,1234-5678-9012-0509,2024-08-27 10:38:58.623975
PAYMENT,John,David,8806.58,49315.68,40509.1,16458.24,25264.82,0,1234-5678-9012-0879,2024-12-15 10:38:58.623988
TRANSFER,Bob,Jane,5479.47,9909.62,4430.150000000001,42741.69,48221.16,1,1234-5678-9012-0887,2025-02-24 10:38:58.624002
DEBIT,Bob,John,5883.69,26947.33,21063.640000000003,49435.7,55319.39,0,1234-5678-9012-0328,2024-08-06 10:38:58.624018
PAYMENT,Alice,Jane,4174.93,40376.95,36202.02,39417.66,43592.590000000004,1,1234-5678-9012-0065,2024-10-16 10:38:58.624030
CASH_IN,Alice,Jane,744.25,20637.08,19892.83,49326.48,50070.73,0,1234-5678-9012-0963,2025-03-24 10:38:58.624043
PAYMENT,Jane,John,8682.17,3464.02,-5218.15,12382.67,21064.84,0,1234-5678-9012-0647,2024-07-23 10:38:58.624057
CASH_OUT,John,Alice,1061.05,40999.38,39938.329999999994,2412.19,3473.24,0,1234-5678-9012-0580,2025-02-01 10:38:58.624070
DEBIT,Jane,Alice,5663.58,8594.24,2930.66,26994.62,32658.199999999997,0,1234-5678-9012-0607,2024-10-16 10:38:58.624083
PAYMENT,Charlie,Eve,947.27,40320.77,39373.5,12143.38,13090.65,1,1234-5678-9012-0796,2025-02-12 10:38:58.624096
CASH_OUT,David,Bob,1855.97,30588.93,28732.96,17416.86,19272.83,0,1234-5678-9012-0031,2024-06-07 10:38:58.624109
CASH_OUT,Charlie,Eve,5037.74,47851.33,42813.590000000004,44127.96,49165.7,1,1234-5678-9012-0313,2025-04-21 10:38:58.624124
CASH_OUT,Charlie,Bob,3383.78,28903.14,25519.36,34511.66,37895.44,0,1234-5678-9012-0978,2024-06-28 10:38:58.624138
TRANSFER,Alice,Charlie,76.84,8295.95,8219.11,28390.05,28466.89,0,1234-5678-9012-0929,2024-12-05 10:38:58.624152
PAYMENT,Eve,David,2000.14,15617.71,13617.57,25844.13,27844.27,1,1234-5678-9012-0647,2025-03-09 10:38:58.624165
PAYMENT,John,Eve,9476.85,37064.61,27587.760000000002,28521.81,37998.66,1,1234-5678-9012-0928,2025-01-02 10:38:58.624179
CASH_OUT,Bob,John,3343.76,21814.89,18471.129999999997,33971.77,37315.53,0,1234-5678-9012-0692,2024-08-11 10:38:58.624191
CASH_OUT,Alice,Bob,8757.22,47491.0,38733.78,44203.07,52960.29,0,1234-5678-9012-0394,2024-12-06 10:38:58.624203
DEBIT,Jane,Eve,338.61,8439.74,8101.13,42771.98,43110.590000000004,0,1234-5678-9012-0870,2024-11-04 10:38:58.624219
CASH_OUT,Jane,Bob,4374.55,37407.37,33032.82,18272.02,22646.57,0,1234-5678-9012-0366,2024-09-22 10:38:58.624233
DEBIT,Jane,Alice,5605.08,24664.9,19059.82,34721.66,40326.740000000005,0,1234-5678-9012-0581,2024-08-29 10:38:58.624246
CASH_IN,David,Jane,3325.35,32315.19,28989.84,25306.92,28632.269999999997,0,1234-5678-9012-0280,2024-07-20 10:38:58.624260
CASH_IN,Alice,Bob,126.3,9301.82,9175.52,10758.9,10885.199999999999,0,1234-5678-9012-0021,2024-05-07 10:38:58.624276
DEBIT,Alice,Eve,2483.07,14864.19,12381.12,19386.33,21869.4,0,1234-5678-9012-0961,2024-05-13 10:38:58.624289
DEBIT,Eve,Alice,8006.76,15746.49,7739.73,28504.83,36511.590000000004,0,1234-5678-9012-0765,2025-01-12 10:38:58.624302
CASH_OUT,Bob,Charlie,7199.39,11749.49,4550.099999999999,18719.73,25919.12,1,1234-5678-9012-0403,2025-05-01 10:38:58.624316
DEBIT,Eve,Alice,6195.48,907.94,-5287.539999999999,8886.45,15081.93,0,1234-5678-9012-0669,2024-08-21 10:38:58.624330
CASH_IN,John,David,2304.7,42159.71,39855.01,38731.59,41036.28999999999,0,1234-5678-9012-0794,2024-06-25 10:38:58.624344
CASH_IN,John,David,5573.73,1676.43,-3897.2999999999993,47970.83,53544.56,1,1234-5678-9012-0795,2025-04-11 10:38:58.624377
TRANSFER,John,Jane,5192.3,29863.06,24670.760000000002,31432.36,36624.66,1,1234-5678-9012-0880,2024-05-08 10:38:58.624392
DEBIT,Eve,David,9953.07,29572.51,19619.44,41655.31,51608.38,1,1234-5678-9012-0467,2024-11-01 10:38:58.624405
DEBIT,David,Bob,6272.48,12633.92,6361.4400000000005,17026.57,23299.05,0,1234-5678-9012-0249,2024-07-20 10:38:58.624418
DEBIT,Alice,Bob,8872.87,37113.78,28240.909999999996,41923.55,50796.420000000006,0,1234-5678-9012-0579,2024-06-07 10:38:58.624430
CASH_OUT,John,Jane,183.98,6410.8,6226.820000000001,43273.98,43457.96000000001,1,1234-5678-9012-0242,2024-10-13 10:38:58.624442
PAYMENT,Jane,Eve,9892.28,27460.4,17568.120000000003,42958.55,52850.83,1,1234-5678-9012-0498,2024-11-22 10:38:58.624456
PAYMENT,Bob,Charlie,6824.19,22036.07,15211.880000000001,26704.96,33529.15,0,1234-5678-9012-0441,2024-10-29 10:38:58.624469
CASH_IN,Jane,Bob,2361.92,12629.71,10267.789999999999,15772.97,18134.89,0,1234-5678-9012-0225,2024-11-27 10:38:58.624482
DEBIT,John,Jane,2451.48,4267.78,1816.2999999999997,24039.76,26491.239999999998,0,1234-5678-9012-0900,2025-04-05 10:38:58.624495
CASH_OUT,David,Charlie,2005.87,19355.29,17349.420000000002,1566.77,3572.64,0,1234-5678-9012-0888,2025-02-21 10:38:58.624507
PAYMENT,Alice,Eve,3972.71,6400.85,2428.1400000000003,33885.26,37857.97,0,1234-5678-9012-0601,2024-11-20 10:38:58.624519
DEBIT,Eve,David,920.36,35705.14,34784.78,44697.04,45617.4,0,1234-5678-9012-0695,2024-06-17 10:38:58.624532
CASH_IN,Charlie,David,3774.47,23279.46,19504.989999999998,39608.86,43383.33,1,1234-5678-9012-0507,2025-04-10 10:38:58.624546
TRANSFER,Eve,Alice,8240.42,21426.18,13185.76,19468.02,27708.440000000002,1,1234-5678-9012-0116,2024-12-07 10:38:58.624559
PAYMENT,Bob,Jane,5984.61,43514.23,37529.62,3874.89,9859.5,1,1234-5678-9012-0692,2024-11-18 10:38:58.624572
TRANSFER,John,Eve,4049.83,26706.04,22656.21,45929.8,49979.630000000005,0,1234-5678-9012-0724,2025-03-09 10:38:58.624585
PAYMENT,Alice,Jane,19.74,23349.15,23329.41,18128.66,18148.4,0,1234-5678-9012-0522,2024-12-18 10:38:58.624601
CASH_OUT,Jane,David,5168.18,13412.9,8244.72,28534.47,33702.65,0,1234-5678-9012-0010,2024-06-23 10:38:58.624613
PAYMENT,Charlie,David,4745.42,5140.99,395.5699999999997,27155.21,31900.629999999997,0,1234-5678-9012-0181,2025-04-30 10:38:58.624628
CASH_OUT,Jane,Bob,8839.62,9070.58,230.95999999999913,19857.97,28697.590000000004,0,1234-5678-9012-0448,2024-05-20 10:38:58.624640
PAYMENT,Bob,Charlie,1391.46,47064.4,45672.94,49868.64,51260.1,0,1234-5678-9012-0009,2025-04-02 10:38:58.624652
TRANSFER,Jane,David,5070.93,2230.03,-2840.9,39931.84,45002.77,1,1234-5678-9012-0158,2024-11-06 10:38:58.624664
PAYMENT,Charlie,Eve,2550.43,12678.41,10127.98,48216.15,50766.58,0,1234-5678-9012-0813,2024-07-21 10:38:58.624678
CASH_OUT,Alice,David,6209.78,36883.19,30673.410000000003,46577.51,52787.29,1,1234-5678-9012-0160,2024-08-21 10:38:58.624693
PAYMENT,David,John,9228.55,19915.64,10687.09,44797.67,54026.22,1,1234-5678-9012-0054,2024-10-26 10:38:58.624705
CASH_IN,David,Jane,2181.66,2640.04,458.3800000000001,33.81,2215.47,0,1234-5678-9012-0484,2024-10-22 10:38:58.624718
CASH_OUT,Charlie,Bob,1658.25,48305.2,46646.95,43582.99,45241.24,1,1234-5678-9012-0435,2024-11-02 10:38:58.624730
